"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"JP39","1","CLK_RXB_TXB","","Excluded from BOM","","","~"
"JP40","1","TAPE_TO_TXDB","","Excluded from BOM","","","~"
"JP41","1","TAPE_TC_TXCB","","Excluded from BOM","","","~"
"JP42","1","TAPE_RC_RXCB","","Excluded from BOM","","","~"
"JP43","1","TAPE_RI_RXDB","","Excluded from BOM","","","~"
"PIO_0","1","PIO-DIP-40","","","","Package_DIP:DIP-40_W15.24mm_Socket","https://www.zilog.com/appnotes_download.php?FromPage=DirectLink&dn=PS0180&ft=Product%20Specification%20(Data%20Sheet)%20%20&f=YUhSMGNEb3ZMM2QzZHk1NmFXeHZaeTVqYjIwdlpHOWpjeTk2T0RBdmNITXdNVGd3TG5Ca1pnPT0="
"R1,R2,R43,R45,R46,R47,R48,R49","8","330R","","","","","~"
"R3,R4,R5,R6,R16,R37,R44,R52,R54","9","10K","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R7,R8,R9,R10,R11,R12,R13,R14","8","R","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R15,R18,R38,R39,R40,R41","6","4K7","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R17,R19,R20,R21,R22,R27,R28,R33,R34,R35,R50,R66,R67,R69","14","100K","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R23,R24,R25,R26,R29,R30,R31,R32,R64","9","2K2","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R36,R42","2","1K","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R51,RV1","2","10K","","","","","~"
"R53","1","330R","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R60,R63","2","5K6","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R61","1","560R","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R62","1","56K","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R65","1","20K","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R68","1","1M","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R70,R72","2","390K","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R71","1","22K","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"RAM_0","1","AS6C4008","","","","Package_DIP:DIP-32_W15.24mm_Socket","https://www.alliancememory.com/wp-content/uploads/pdf/AS6C4008.pdf"
"RAM_1,RAM_2","2","IDT6116","","","","Package_DIP:DIP-24_W15.24mm_Socket",""
"RN1","1","1K","","","","Resistor_THT:R_Array_SIP9","http://www.vishay.com/docs/31509/csc.pdf"
"RN2","1","10K","","","","Resistor_THT:R_Array_SIP9","http://www.vishay.com/docs/31509/csc.pdf"
"ROM_0,ROM_1","2","W27C512","","","","Package_DIP:DIP-28_W15.24mm_Socket",""
"RV2","1","4K7","","","","","~"
"SERIAL_0,SERIAL_1","2","DE9_Pins","","","","DSUB-9_Pins_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm","~"
"SIO_0","1","SIO2-DIP-40","","","","Package_DIP:DIP-40_W15.24mm_Socket","http://www.zilog.com/docs/z80/ps0183.pdf"
"SW1","1","RESET","","","","Button_Switch_THT:SW_PUSH_6mm","~"
"SW2","1","POWER","","","","Button_Switch_THT:SW_PUSH_6mm","~"
